delivery_id,customer_id,Courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_Courier_arrived_at_pickup,when_the_Courier_left_pickup,when_the_Courier_arrived_at_dropoff,Pickup_Zone_ID,Dropoff_Zone_ID,Total
1362568,54214,53095,bicycle,Siggy's Good Food,,Greek Style Quinoa Avocado Salad,1,Salads,06:32.3,40.69846023,-73.99233743,40.7239485,-74.0034475,2020-10-14T19:15:00,2020-10-14T19:50:00,2020-10-14T20:00:00,2020-10-14T20:19:00,33,211,5.89
1397191,312862,161162,bicycle,Siggy's Good Food,,Pasta & Sauce Bowl,1,Hot Delights,,40.69846023,-73.99233743,40.69377227,-73.99352417,2020-10-19T12:39:00,2020-10-19T13:06:00,2020-10-19T13:21:00,2020-10-19T13:26:00,33,33,26.45
1368735,198677,111793,car,HBH Gourmet Sandwiches & Smoked Meats,,San Pellegrino Blood Orange,5,Beverages,06:15.7,40.67802901,-73.99606766,40.7677253,-73.9915642,2020-10-15T19:23:00,2020-10-15T19:54:00,2020-10-15T20:08:00,2020-10-15T20:44:00,40,50,176
1289325,44933,128139,car,Jack the Horse Tavern,,Roasted Cauliflower & Parmesan,1,Sides,07:41.8,40.69993286,-73.99369754,40.7031106,-73.9858222,2020-10-03T21:10:00,2020-10-03T21:15:00,2020-10-03T22:06:00,2020-10-03T22:13:00,33,66,7.13
1313214,180821,142140,car,Sushi Yasaka,,Yellow Tail,1,Sushi & Sashimi a la Carte,06:10.3,40.779411,-73.983543,40.7236764,-74.0107235,2020-10-07T13:30:00,2020-10-07T13:34:00,2020-10-07T13:44:00,2020-10-07T15:02:00,143,231,48.85
1313214,180821,142140,car,Sushi Yasaka,,Fresh Salmon,3,Sushi & Sashimi a la Carte,06:10.3,40.779411,-73.983543,40.7236764,-74.0107235,2020-10-07T13:30:00,2020-10-07T13:34:00,2020-10-07T13:44:00,2020-10-07T15:02:00,143,231,56.42
1314211,105665,67430,bicycle,Sushi Yasaka,,Spicy Salmon,1,Maki Rolls & Hand Rolls,06:10.4,40.779411,-73.983543,40.776681,-73.961403,2020-10-07T17:32:00,2020-10-07T17:46:00,2020-10-07T17:54:00,2020-10-07T18:07:00,143,236,9
1319158,100889,112851,walker,Sushi Yasaka,,"Yasaka's Chef Recommended ""Omakase""",1,Sushi Entrees,03:04.5,40.779411,-73.983543,40.76470376,-73.97605477,2020-10-08T17:04:00,2020-10-08T17:06:00,2020-10-08T17:25:00,2020-10-08T17:35:00,143,163,48.45
1325102,100889,39443,bicycle,Sushi Yasaka,,Sea Urchin (maine),1,Sushi & Sashimi a la Carte,05:31.7,40.779411,-73.983543,40.76470376,-73.97605477,2020-10-09T18:57:00,2020-10-09T18:57:00,2020-10-09T19:22:00,2020-10-09T19:34:00,143,163,50.78
1431738,100889,125504,bicycle,Sushi Yasaka,,Sea Urchin (Ca),1,Sushi & Sashimi a la Carte,05:27.6,40.779411,-73.983543,40.76470376,-73.97605477,2020-10-23T19:16:00,2020-10-23T19:23:00,2020-10-23T19:37:00,2020-10-23T19:47:00,143,163,18.38
1440313,367740,138061,car,Sushi Yasaka,,Appetizer Tempura,1,Tempura,03:02.0,40.779411,-73.983543,40.7928404,-73.9747781,2020-10-24T19:49:00,2020-10-24T19:52:00,2020-10-24T20:12:00,2020-10-24T20:21:00,143,238,50.92
1490287,49246,156557,car,Sushi Yasaka,,"Yasaka's Chef Recommended ""Omakase""",1,Sushi Entrees,,40.779411,-73.983543,40.7759231,-73.9557062,2020-10-30T21:07:00,2020-10-30T21:08:00,2020-10-30T21:49:00,2020-10-30T22:03:00,143,263,39.26
1403650,367591,91932,bicycle,Cariño,,"Guacamole, chips, tortillas and salsa chipotle",1,Botanas,26:41.6,40.71258812,-73.96473724,40.68801313,-73.97925599,2020-10-19T20:41:00,,,2020-10-19T21:55:00,256,97,23.82
1368437,93668,6873,car,Mesa Coyoacán,,Arroz Y Frijoles a la Mexicana,1,Para Acompanar,05:25.7,40.71547649,-73.94462431,40.711172,-73.943022,2020-10-15T18:52:00,2020-10-15T19:08:00,2020-10-15T19:16:00,2020-10-15T19:25:00,80,80,26.83
1400447,93668,91932,bicycle,Mesa Coyoacán,,Arroz Y Frijoles a la Mexicana,1,Para Acompanar,08:25.4,40.71547649,-73.94462431,40.711172,-73.943022,2020-10-19T17:29:00,2020-10-19T17:47:00,2020-10-19T17:56:00,2020-10-19T18:01:00,80,80,33.45
1309592,59490,20124,bicycle,Bozu,,Hotate Punch,1,Cold Prep,10:53.5,40.712852,-73.957599,40.71095555,-73.93510284,2020-10-06T19:32:00,2020-10-06T19:57:00,2020-10-06T20:08:00,2020-10-06T20:21:00,256,37,23.56
1294429,328864,111793,car,Pies 'n' Thighs,,Fried Chicken Sandwich,1,Dinner Entrees,02:00.3,40.71125525,-73.96144262,40.701183,-73.928499,2020-10-04T17:13:00,2020-10-04T17:13:00,2020-10-04T17:30:00,2020-10-04T17:46:00,256,37,34.15
1294429,328864,111793,car,Pies 'n' Thighs,,Mac 'n' Cheese,1,Dinner Sides,02:00.3,40.71125525,-73.96144262,40.701183,-73.928499,2020-10-04T17:13:00,2020-10-04T17:13:00,2020-10-04T17:30:00,2020-10-04T17:46:00,256,37,21.05
1299157,62917,59164,bicycle,Pies 'n' Thighs,,Fresh Squeezed OJ,1,Drinks,02:52.7,40.71125525,-73.96144262,40.7089939,-73.961753,2020-10-05T11:12:00,2020-10-05T11:10:00,2020-10-05T11:36:00,2020-10-05T11:39:00,256,256,24.85
1319443,275927,22502,bicycle,Pies 'n' Thighs,,Fried Chicken Box,1,Dinner Entrees,14:30.4,40.71125525,-73.96144262,40.7458947,-73.9248061,2020-10-08T18:09:00,2020-10-08T18:36:00,2020-10-08T18:53:00,2020-10-08T19:13:00,256,,4.98
1334357,110699,128139,car,Pies 'n' Thighs,,Apple Pie,2,Pie,09:10.4,40.71125525,-73.96144262,40.6718327,-73.9880824,2020-10-10T21:29:00,2020-10-10T21:56:00,2020-10-10T22:06:00,2020-10-10T22:34:00,256,106,28.75
1377172,374940,6873,car,Pies 'n' Thighs,,Chicken Biscuit,1,Dinner Entrees,05:52.6,40.71125525,-73.96144262,40.72752154,-73.95705728,2020-10-16T22:08:00,2020-10-16T22:19:00,2020-10-16T22:25:00,2020-10-16T22:38:00,256,112,8.22
1445156,110699,171364,car,Pies 'n' Thighs,,Chicken & Waffles,1,Brunch Entrees,07:11.1,40.71125525,-73.96144262,40.6718327,-73.9880824,2020-10-25T11:46:00,2020-10-25T11:57:00,2020-10-25T12:29:00,2020-10-25T13:02:00,256,106,34.62
1445624,141418,168796,bicycle,Pies 'n' Thighs,,Rob Evans on a Biscuit,1,Brunch Entrees,06:16.2,40.71125525,-73.96144262,40.70475017,-73.92412352,2020-10-25T12:46:00,2020-10-25T12:55:00,2020-10-25T13:05:00,2020-10-25T13:22:00,256,36,4.8
1394099,338686,31859,bicycle,Whole Foods Wine Store,,Montepulciano D Abruzzo,2,Wine,,40.79407772,-73.96660263,40.775536,-73.951648,2020-10-18T22:41:00,2020-10-18T22:41:00,2020-10-18T22:51:00,2020-10-18T23:10:00,151,263,45.73
1313799,308297,93783,bicycle,Evelyn's Kitchen,,Turkey Lasagna,1,Entrées,05:01.6,40.797649,-73.934196,40.8054488,-73.955869,2020-10-07T15:39:00,2020-10-07T15:48:00,2020-10-07T15:59:00,2020-10-07T16:11:00,74,41,23.55
